"T","G","Gs","w","Xav_w"
0.00001,3.383,3.931,0.5493152034683217,0.3333333333333326
0.00001122018454301963,3.383,3.931,0.5493152034683217,0.3333333333663161
0.000012589254117941661,3.383000000000014,3.9310000000000143,0.5493152034683209,0.33333333333333126
0.000014125375446227555,3.3830000000010454,3.9310000000010046,0.5493152034682391,0.33333333330025505
0.00001584893192461114,3.3830000000462106,3.931000000043893,0.5493152034644584,0.3333333333288168
0.00001778279410038923,3.383000001309196,3.9310000012314434,0.5493152033540942,0.3333333265325655
0.000019952623149688786,3.3830000249611567,3.93100002328939,0.5493152012158302,0.33333333140177185
0.00002238721138568338,3.383000334546093,3.931000310108284,0.5493151724781873,0.3333329878277749
0.000025118864315095822,3.383003277011086,3.9310030222854215,0.5493148938590442,0.33333312194335185
0.00002818382931264455,3.3830242894632105,3.9310223187568516,0.5493128760560739,0.33332672958853116
0.000031622776601683795,3.383140523747228,3.931128810259982,0.549301615926097,0.33332549657102273
0.000035481338923357534,3.383652395660749,3.9315972749028556,0.5492518399919173,0.33326664993868216
0.000039810717055349695,3.3854915166094757,3.9332806537974703,0.5490732082281109,0.33321040438610156
0.00004466835921509635,3.391002753533561,3.9383313425187967,0.5485414900415113,0.33287413475703936
0.00005011872336272725,3.405053215364733,3.951235229496242,0.5472044946481127,0.332363521321632
0.00005623413251903491,3.436078153980095,3.979807701619336,0.5443217619131375,0.33107007533080973
0.00006309573444801929,3.4963825825892685,4.035513074193727,0.5389288705757906,0.32897223100961226
0.00007079457843841373,3.6010903472537885,4.132501945753478,0.530092850500107,0.32573647181607224
0.00007943282347242822,3.765657838408739,4.28523625758528,0.5173041706469717,0.321166674984579
0.00008912509381337459,4.002559245530132,4.505265710595452,0.5007950111341786,0.3161856357591942
0.0001,4.318172076279684,4.798204895389473,0.4815543276584324,0.31067191077115625
0.0001122018454301963,4.710833095873955,5.161939892594667,0.4610126029486714,0.30612714507842903
0.00012589254117941674,5.17060172839171,5.586603363776217,0.44060689186979207,0.30252524652222956
0.00014125375446227554,5.68070699314742,6.05619822336854,0.42146584469716464,0.3003847412392087
0.00015848931924611142,6.220181185019796,6.551249675095035,0.4042998599188845,0.2997605561764288
0.00017782794100389227,6.766934919041448,7.051692012576975,0.38944088117536535,0.30018466381848796
0.00019952623149688788,7.300547038247107,7.539323774761692,0.3769422547403911,0.30177317651469376
0.000223872113856834,7.804270196027064,7.999452443599649,0.36667956433593596,0.3038510768746488
0.0002511886431509582,8.266062691252426,8.421648419106052,0.3584296391425912,0.3065015104640299
0.0002818382931264455,8.678726458841282,8.799742907275405,0.3519253773785116,0.3092461943177616
0.00031622776601683794,9.03939190529167,9.131307704175676,0.34689114781864894,0.3121046214564153
0.0003548133892335753,9.348636521572473,9.416865098900853,0.34306431776383484,0.31483553699520667
0.00039810717055349735,9.609488680128601,9.65903025935122,0.34020731395418435,0.31742009704281027
0.0004466835921509635,9.826493664646385,9.861721676486901,0.3381133376824952,0.3197816050600342
0.0005011872336272725,10.004940181888113,10.029511491782594,0.3366078902952312,0.32189102843809536
0.0005623413251903491,10.150281881972454,10.16713859368685,0.3355476182054722,0.3237615288544345
0.000630957344480193,10.267746238738297,10.279175949788044,0.3348175553211634,0.32536824886185484
0.000707945784384138,10.362100831130164,10.369827367767648,0.33432753798525394,0.32676220407663387
0.0007943282347242822,10.437539417325421,10.442823474805476,0.33400834012293257,0.3279265927222643
0.0008912509381337459,10.497651569063024,10.501387929303771,0.3338078979177601,0.3289202702842596
0.001,10.545445470597217,10.548249394009474,0.33368785269053824,0.32973357055047536
0.0011220184543019641,10.583400705993697,10.58568036663224,0.3336205328453328,0.3304189318258581
0.0012589254117941675,10.613534703764,10.615549291178212,0.3335864174026142,0.330971600476234
0.001412537544622754,10.637472180381776,10.639376853453562,0.3335720708879566,0.3314328413154002
0.001584893192461114,10.656511219328454,10.658390821591178,0.33356850751921074,0.3318007930977427
0.0017782794100389228,10.671682648654034,10.673576285897965,0.3335699267311789,0.33210560400917655
0.0019952623149688807,10.68380137487304,10.685719843842145,0.33357275734878633,0.3323468969203272
0.00223872113856834,10.693509554187365,10.695447352738167,0.333574950118541,0.33254565469162717
0.002511886431509582,10.701312164438448,10.70325550681126,0.33357546468357646,0.3327021422152214
0.002818382931264455,10.707605866359742,10.70953782784307,0.3335739051919344,0.33283049139711035
0.0031622776601683794,10.712702145927354,10.714605796541543,0.33357026709517457,0.3329311647096939
0.0035481338923357567,10.716845705121276,10.718705871961088,0.3335647654656346,0.33301346945866434
0.003981071705534973,10.720228981743697,10.722033103932365,0.3335577218473895,0.33307786042024295
0.004466835921509635,10.72300360942282,10.724742006275296,0.33354949128257894,0.333130371730644
0.005011872336272725,10.725289904131143,10.726955598594829,0.3335404070787924,0.33317135712700097
0.005623413251903491,10.727187591396246,10.728775275742436,0.33353067419677496,0.3332043257946604
0.006309573444801936,10.728799610105531,10.730301206900428,0.3335199459211924,0.3332293256457426
0.00707945784384138,10.730303787858986,10.731691743023424,0.3335057988033241,0.3332426243455574
0.00794328234724282,10.732145485609315,10.733322071083244,0.33347950919667846,0.33324138517468027
0.008912509381337459,10.735450865695542,10.73612623803357,0.3334172139697378,0.3331836332264342
0.01,10.742715276025251,10.742174938930688,0.33326626933313364,0.3330478956045573
0.01122018454301964,10.758659886088598,10.755415757214402,0.332931284638478,0.3326865930679686
0.012589254117941675,10.790920349959869,10.782314557575768,0.33226999587245487,0.3320321729466209
0.014125375446227554,10.85008753705443,10.832003404692305,0.3311110308495526,0.3308392301098325
