,T,G,Gs,w,Xav_w,my_w,my_w_err,Xav_w_err,my_G,my_G_err,my_Gs,my_Gs_err
0,1e-05,3.383,3.931,0.5493152034683217,0.3333333333333326,0.3335728144922261,0.6467625046258784,0.0007179276862175961,3.383,0.0,3.931,0.0
1,1.1220184543e-05,3.383,3.931,0.5493152034683217,0.3333333333663161,0.3335728144922261,0.6467625046258784,0.000717927587338121,3.383,0.0,3.931,0.0
2,1.25892541179e-05,3.383000000000014,3.9310000000000143,0.5493152034683209,0.3333333333333312,0.3335728144922261,0.6467625046258757,0.0007179276862217565,3.383000000000014,0.0,3.9310000000000143,0.0
3,1.41253754462e-05,3.3830000000010454,3.9310000000010046,0.5493152034682391,0.333333333300255,0.3335728144922261,0.6467625046256308,0.0007179277853791428,3.3830000000010454,0.0,3.9310000000010046,0.0
4,1.58489319246e-05,3.3830000000462106,3.931000000043893,0.5493152034644584,0.3333333333288168,0.3335728144922261,0.6467625046142966,0.0007179276997552001,3.3830000000462106,0.0,3.931000000043893,0.0
5,1.77827941003e-05,3.383000001309196,3.931000001231443,0.5493152033540942,0.3333333265325655,0.3335728144922261,0.6467625042834418,0.0007179480738715675,3.383000001309196,0.0,3.9310000012314443,3.3891315928080265e-16
6,1.99526231496e-05,3.3830000249611567,3.93100002328939,0.5493152012158302,0.3333333314017718,0.3335728144922261,0.6467624978732552,0.0007179334767398338,3.3830000249611567,0.0,3.9310000232894047,3.7280447311697084e-15
7,2.23872113856e-05,3.383000334546093,3.931000310108284,0.5493151724781873,0.3333329878277749,0.3335728144922261,0.646762411722221,0.0007189634587467378,3.383000334546093,0.0,3.9310003101084763,4.891646214593426e-14
8,2.5118864315e-05,3.383003277011086,3.9310030222854215,0.5493148938590442,0.3333331219433518,0.3335728144922261,0.646761576464877,0.0007185614008718296,3.383003277011086,0.0,3.9310030222872285,4.596788617650347e-13
9,2.81838293126e-05,3.3830242894632105,3.931022318756851,0.5493128760560739,0.3333267295885311,0.3335728144922261,0.646755527401876,0.0007377246975883956,3.383024289463209,3.9380965537246595e-16,3.931022318769673,3.2616817273130984e-12
10,3.16227766016e-05,3.383140523747228,3.931128810259982,0.549301615926097,0.3333254965710227,0.3335728144922261,0.6467217712638226,0.0007414210944614605,3.383140523747223,1.4439191260491899e-15,3.9311288103307973,1.8013999794413173e-11
11,3.54813389233e-05,3.383652395660749,3.931597274902856,0.5492518399919173,0.3332666499386821,0.3335728144922261,0.646572550667847,0.0009178342486033772,3.3836523956607363,3.806120008712353e-15,3.9315972752156823,7.95672057646951e-11
12,3.98107170553e-05,3.3854915166094757,3.9332806537974703,0.5490732082281109,0.3332104043861015,0.3335728144922261,0.6460370401104946,0.0010864497656269132,3.3854915166094415,1.010041495915514e-14,3.9332806549298693,2.8790192278522267e-10
13,4.4668359215e-05,3.391002753533561,3.9383313425187967,0.5485414900415113,0.3328741347570393,0.3335728144922261,0.644443030756318,0.002094534400983276,3.3910027535333978,4.8193658661744135e-14,3.938331345951323,8.715686826995397e-10
14,5.01187233627e-05,3.405053215364733,3.951235229496242,0.5472044946481127,0.332363521321632,0.3335728144922261,0.64043492417415,0.003625274956638522,3.4050532153646342,2.895338144551039e-14,3.9512352383792786,2.248166963659871e-09
15,5.6234132519e-05,3.436078153980095,3.979807701619336,0.5443217619131375,0.3310700753308097,0.3335728144922261,0.6317929347501516,0.007502827127043167,3.4360781539798615,6.798184264539345e-14,3.9798077215846352,5.016649192220912e-09
16,6.3095734448e-05,3.4963825825892685,4.035513074193727,0.5389288705757906,0.3289722310096122,0.3335728144922261,0.6156258758561105,0.013791841789076912,3.496382582589056,6.07126472272784e-14,4.035513113769735,9.806933376896534e-09
17,7.07945784384e-05,3.6010903472537885,4.132501945753478,0.530092850500107,0.3257364718160722,0.3335728144922261,0.5891368464994045,0.023492150246364075,3.601090347253566,6.178370234575376e-14,4.132502015892379,1.6972502527457236e-08
18,7.94328234724e-05,3.765657838408739,4.28523625758528,0.5173041706469717,0.321166674984579,0.3335728144922261,0.5507983509820085,0.03719169838984645,3.7656578384081247,1.630990927955021e-13,4.285236370083279,2.625246069176382e-08
19,8.91250938133e-05,4.002559245530132,4.505265710595452,0.5007950111341786,0.3161856357591942,0.3335728144922261,0.5013064295917005,0.05212408798810289,4.0025592455281265,5.010561365015502e-13,4.5052658756785595,3.6642256359476747e-08
20,0.0001,4.318172076279684,4.798204895389473,0.4815543276584324,0.3106719107711562,0.3335728144922261,0.4436258194225688,0.06865338758474757,4.318172076279684,0.0,4.7982051191803645,4.664054287743381e-08
21,0.0001122018454301,4.710833095873955,5.161939892594667,0.4610126029486714,0.306127145078429,0.3335728144922261,0.38204488771196105,0.0822778962235747,4.71083309587076,6.781768130273401e-13,5.161940175271903,5.476181952656535e-08
22,0.0001258925411794,5.17060172839171,5.586603363776217,0.440606891869792,0.3025252465222295,0.3335728144922261,0.32087170395014414,0.0930758341840838,5.170601728391146,1.0907691718214552e-13,5.586603699052164,6.001427067723397e-08
23,0.0001412537544622,5.68070699314742,6.05619822336854,0.4214658446971646,0.3003847412392087,0.3335728144922261,0.26348978809538703,0.09949273984913065,5.680706993144966,4.3199499227698e-13,6.056198599324226,6.2077833144407e-08
24,0.0001584893192461,6.220181185019796,6.551249675095035,0.4042998599188845,0.2997605561764288,0.3335728144922261,0.21202880556774722,0.10136395067825665,6.220181185019454,5.4974072525104224e-14,6.551250076103921,6.121104842507874e-08
