T_GeV,w
0.00001,0.3333333333333326
0.00001122018454301963,0.3333333333663161
0.000012589254117941661,0.33333333333333126
0.000014125375446227555,0.33333333330025505
0.00001584893192461114,0.3333333333288168
0.00001778279410038923,0.3333333265325655
0.000019952623149688786,0.33333333140177185
0.00002238721138568338,0.3333329878277749
0.000025118864315095822,0.33333312194335185
0.00002818382931264455,0.33332672958853116
0.000031622776601683795,0.33332549657102273
0.000035481338923357534,0.33326664993868216
0.000039810717055349695,0.33321040438610156
0.00004466835921509635,0.33287413475703936
0.00005011872336272725,0.332363521321632
0.00005623413251903491,0.33107007533080973
0.00006309573444801929,0.32897223100961226
0.00007079457843841373,0.32573647181607224
0.00007943282347242822,0.321166674984579
0.00008912509381337459,0.3161856357591942
0.0001,0.31067191077115625
0.0001122018454301963,0.30612714507842903
0.00012589254117941674,0.30252524652222956
0.00014125375446227554,0.3003847412392087
0.00015848931924611142,0.2997605561764288
0.00017782794100389227,0.30018466381848796
0.00019952623149688788,0.30177317651469376
0.000223872113856834,0.3038510768746488
0.0002511886431509582,0.3065015104640299
0.0002818382931264455,0.3092461943177616
0.00031622776601683794,0.3121046214564153
0.0003548133892335753,0.31483553699520667
0.00039810717055349735,0.31742009704281027
0.0004466835921509635,0.3197816050600342
0.0005011872336272725,0.32189102843809536
0.0005623413251903491,0.3237615288544345
0.000630957344480193,0.32536824886185484
0.000707945784384138,0.32676220407663387
0.0007943282347242822,0.3279265927222643
0.0008912509381337459,0.3289202702842596
0.001,0.32973357055047536
0.0011220184543019641,0.3304189318258581
0.0012589254117941675,0.330971600476234
0.001412537544622754,0.3314328413154002
0.001584893192461114,0.3318007930977427
0.0017782794100389228,0.33210560400917655
0.0019952623149688807,0.3323468969203272
0.00223872113856834,0.33254565469162717
0.002511886431509582,0.3327021422152214
0.002818382931264455,0.33283049139711035
0.0031622776601683794,0.3329311647096939
0.0035481338923357567,0.33301346945866434
0.003981071705534973,0.33307786042024295
0.004466835921509635,0.333130371730644
0.005011872336272725,0.33317135712700097
0.005623413251903491,0.3332043257946604
0.006309573444801936,0.3332293256457426
0.00707945784384138,0.3332426243455574
0.00794328234724282,0.33324138517468027
0.008912509381337459,0.3331836332264342
0.01,0.3330478956045573
0.01122018454301964,0.3326865930679686
0.012589254117941675,0.3320321729466209
0.014125375446227554,0.3308392301098325
0.01584893192461114,0.32902602619420424
0.01778279410038923,0.3264852709547175
0.01995262314968881,0.32325027771138515
0.0223872113856834,0.31961436070548555
0.025118864315095822,0.31576301436681975
0.02818382931264455,0.3122458269280559
0.03162277660168379,0.3091318990446088
0.035481338923357565,0.3066176470431724
0.039810717055349734,0.3051572143204513
0.04466835921509635,0.3049228424882102
0.05011872336272725,0.3055924011475839
0.05623413251903491,0.30670992654792584
0.06309573444801936,0.30782039245346915
0.0707945784384138,0.3084659836574122
0.07943282347242822,0.3081877290283973
0.08912509381337459,0.3065303793481043
0.1,0.30306105753816165
0.1122018454301963,0.2968287081168534
0.12589254117941687,0.28505254965068894
0.14125375446227553,0.2647095110115735
0.15848931924611143,0.23951443169517303
0.1778279410038923,0.2287444033574308
0.1995262314968879,0.2320975455185211
0.22387211385683423,0.24335161734164265
0.25118864315095824,0.25645684972470845
0.2818382931264455,0.26640006970207303
0.31622776601683794,0.27360647616606926
0.3548133892335753,0.2796984873247277
0.39810717055349776,0.2850706684885863
0.4466835921509635,0.28977891341608897
0.5011872336272725,0.29388859113304255
0.5623413251903491,0.29746883959136267
0.6309573444801942,0.300591958391233
0.7079457843841388,0.3033328559014558
0.7943282347242822,0.30576856264541175
0.8912509381337459,0.30797782904868065
1,0.3100408861716989
1.1220184543019653,0.31202443585468054
1.2589254117941688,0.31393878779084383
1.4125375446227555,0.31577961126418846
1.584893192461114,0.3175426348625042
1.7782794100389228,0.3192235738723185
1.9952623149688828,0.3208181342612698
2.2387211385683425,0.32232201812029365
2.5118864315095824,0.3237309291955123
2.818382931264455,0.3250405787387543
3.1622776601683795,0.3262466909705416
3.5481338923357604,0.3273450101037487
3.9810717055349776,0.3283313057685079
4.4668359215096345,0.32920138083591455
5.011872336272725,0.32995107799771073
5.623413251903491,0.3305762863860421
6.309573444801943,0.3310729495749605
7.0794578438413875,0.3314370732892106
7.943282347242821,0.3316647318075939
8.91250938133746,0.3317520778237174
10,0.3316953458118497
11.220184543019652,0.3314910375089233
12.589254117941687,0.33113639954243645
14.125375446227554,0.33062895794419
15.848931924611142,0.32996634850221507
17.78279410038923,0.3291463251261634
19.95262314968883,0.3281666032009445
22.387211385683422,0.3270513785114362
25.11886431509582,0.3259175304299252
28.18382931264455,0.3247761509089034
31.622776601683793,0.3236092558051493
35.481338923357605,0.3225983909299926
39.81071705534978,0.32175888583515877
44.668359215096345,0.32117035479793465
50.11872336272725,0.32089396942888265
56.23413251903491,0.3208913018920944
